Subject_id,PPG_Rate_Mean,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_SDRMSSD,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_PAS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_DFA_alpha1,HRV_MFDFA_alpha1_Width,HRV_MFDFA_alpha1_Peak,HRV_MFDFA_alpha1_Mean,HRV_MFDFA_alpha1_Max,HRV_MFDFA_alpha1_Delta,HRV_MFDFA_alpha1_Asymmetry,HRV_MFDFA_alpha1_Fluctuation,HRV_MFDFA_alpha1_Increment,HRV_ApEn,HRV_SampEn,HRV_ShanEn,HRV_FuzzyEn,HRV_MSEn,HRV_CMSEn,HRV_RCMSEn,HRV_CD,HRV_HFD,HRV_KFD,HRV_LZC,Labels
01,60.24742448453163,997.5084745762712,102.91381946700908,113.10926971982325,114.02012775900698,0.1031708723183786,0.1133917882430729,1013.0,97.85160000000016,0.0965958538993091,121.0,0.9098619390075742,909.8,1080.6,52.54237288135594,86.4406779661017,782.0,1246.0,11.8,242.1875,0.0055796147269116,0.0464537110569856,0.0135787797474928,0.0656121055313902,0.1201112806696336,0.0850394097510293,0.7080051871641465,-3.069298923329421,80.62440553015034,119.72783021204268,0.6733973662377524,30325.747189288133,1.4850072930741698,5.188781620116629,711.1868041953173,0.7288135593220338,0.7543859649122807,0.9534883720930232,0.4166666666666667,52.528856243441766,52.870823549715794,52.19977540109616,50.877192982456144,0.4651842568072936,0.5348157431927065,55.02654861638679,59.0013380758169,0.4824800567087613,0.5175199432912386,83.16388998991061,86.13083494910383,0.4770789516944282,0.5229210483055717,70.5129550185125,73.82302697589218,0.5461467691778351,1.79573932936697,0.8319596012468342,0.909895149491404,-0.6719203165003407,-0.3507379620542441,-0.4565997430862956,0.0002553616376677,0.1569285133868249,0.3639143302573626,1.421385680931161,5.814846439192349,1.1523194707153677,0.6299994923998176,0.9213587938586364,0.9976223120664994,2.00194570252294,1.920874470972458,2.4065952445971424,0.9970581439596342,Relax
01,58.2630710634705,1031.107142857143,83.76779128724152,109.46290363738429,110.36310745994555,0.0812406274823443,0.1061605521750808,1024.0,79.31909999999999,0.0774600585937499,98.75,0.7652619152579537,967.0,1096.0,55.35714285714286,89.28571428571429,806.0,1246.0,11.2,195.3125,0.0049857004571797,0.0458088298850429,0.0169753176311477,0.0677698479733703,0.1088371056342488,0.0735681221999913,0.6759470657665211,-3.08327841419419,78.03850167774715,86.39111790297225,0.9033162618105474,21180.09427932392,1.107031991205014,5.032897998920179,382.5509250982181,0.7321428571428571,0.7592592592592592,0.951219512195122,0.3636363636363636,53.00607971177661,53.26404421517429,52.7556008033982,50.0,0.4627771362498996,0.5372228637501004,53.14010133948157,57.25503374279757,0.5536507596438985,0.4463492403561016,64.2816541526901,57.71736473470693,0.5127739494767852,0.4872260505232146,58.97457685722056,57.4866640222238,0.3572829779991946,2.06575950247348,0.7523868449970861,0.7151711459743788,-0.4423330780888275,0.1787958933788426,-0.5180155042143804,0.0006263617442696,0.2370186682968884,0.3500457382968451,1.5686159179138452,5.700212064914747,1.3216854463630854,0.840093846785475,1.0593512767826485,1.0871134767536177,1.8733550598784496,1.990814873465,2.5404578560443563,0.9333248981878292,Relax
01,58.02282112409341,1033.2105263157894,87.2798734863283,110.4029955597738,111.35901925228676,0.0844744331027577,0.1068543077599563,1030.0,71.1648,0.0690920388349514,83.0,0.7905571134532641,977.2,1094.4,59.64912280701754,87.71929824561403,741.0,1246.0,11.4,265.625,0.0075298742930422,0.0603866972630776,0.0132362357098757,0.0811528072659956,0.1246942560915025,0.0927863686632733,0.744111008571119,-2.8069864422874176,78.74271765957525,86.3973604695415,0.9114018904239,21372.766782548308,1.0972108029476353,5.036830856768553,379.1844690133676,0.7719298245614035,0.8,0.9545454545454546,0.6666666666666666,48.12227074235807,47.79267671597695,48.37366715046845,47.27272727272727,0.3849838991816272,0.6150161008183729,48.87646765989837,61.776282592181694,0.5055947006930214,0.4944052993069784,61.433001010633866,60.74940561792645,0.4508447698461514,0.5491552301538488,55.51091200872867,61.26499560858731,0.4557873640845284,1.804487739879136,0.774561262077726,0.710409176349821,-0.3862731805757704,0.1829040640796089,-0.5355514112454995,0.0003183991718777,0.1615044432567444,0.4407060868153487,1.7346010553881064,5.69253913697176,1.2358377333638522,0.8482072829979097,1.1634077423416398,1.2658978798089953,1.8528578417412291,1.9631267394471148,2.866978125331709,1.0233140375727616,Relax
01,58.577160978913625,1025.8245614035088,85.21949031073851,90.660571836462,91.47158915956706,0.0830741371547423,0.0883782424866318,1030.0,68.19959999999999,0.0662132038834951,79.0,0.939984036990872,962.8,1090.8,57.89473684210527,82.45614035087719,800.0,1187.0,9.5,203.125,0.0117632675239358,0.025059135482229,0.0064672797705657,0.0432896827767306,0.4694203250657978,0.2717337427628111,0.5788708503934565,-3.686516828025121,64.68018098063975,102.06261685720318,0.6337303801560803,20738.999372045768,1.5779581211708862,5.023757908413924,644.2021405511053,0.7192982456140351,0.7454545454545454,0.926829268292683,0.4166666666666667,49.10385465259023,49.07628815280502,49.13445100965369,47.27272727272727,0.4534688441676101,0.54653115583239,43.56019868057204,47.821543262425145,0.4169170809255138,0.5830829190744861,65.90093001043857,77.9348778372016,0.4273920551752095,0.5726079448247904,55.85885554382417,64.65580091337334,0.7448086117685611,0.821321702016403,0.8565286153814223,1.0916742781273394,-0.142006460338588,-1.013788417325206,-0.2136984665465215,0.000195663383681,0.0450524354656986,0.3902953827746258,1.475906519809578,5.69253913697176,1.3373648945050027,0.981829160280792,1.04733625829906,1.297637466339349,1.801963398728876,1.895246891641712,3.9599277789964074,1.125645441330038,Relax
01,58.74470223812367,1022.4561403508771,86.17674325300437,90.1256067940738,90.93622533359344,0.0842840488232884,0.0881461837210399,1030.0,72.64739999999999,0.0705314563106796,103.0,0.9561848881628936,955.6,1085.4,57.89473684210527,82.45614035087719,800.0,1187.0,11.4,226.5625,0.0068391069416319,0.0178173647916002,0.0048922555537357,0.0295487272869679,0.3838450310483686,0.2314518278642821,0.6029824776736962,-4.027581747133934,64.30162158889182,104.56153271340574,0.6149644130135037,21122.42315153807,1.626110355068695,5.031713848680401,680.1143643484927,0.7368421052631579,0.7636363636363637,0.9285714285714286,0.4545454545454545,50.65805810777253,50.66161359819807,50.6515614441053,45.45454545454545,0.4570434874369871,0.5429565125630129,43.47350290171537,47.383637375248966,0.4235163748864078,0.5764836251135922,68.04669617073156,79.38993175223649,0.4327171526868642,0.5672828473131359,57.09771586629936,65.37572314909357,0.8167448310081272,0.9432843791611444,1.012877913083884,1.1369347631554203,0.1821156949301698,-0.5121052488486559,-0.3684841466559011,0.0003455113808107,0.0653271174610144,0.3905710195837062,2.079441541679836,5.727626856270007,1.3273526153289614,0.9878109296453568,0.8958797346140276,1.0789817827253791,1.90390497169486,1.854542497747282,3.5427548548929355,1.125645441330038,Relax
01,60.24211180351972,998.6101694915254,98.1538231463586,120.05695487473062,121.09516513867804,0.0982904301849206,0.1202240459216047,1007.0,78.57780000000017,0.0780315789473685,106.5,0.8175604924243988,930.4,1073.0,61.01694915254237,83.05084745762711,737.0,1187.0,14.75,250.0,0.0158039363990368,0.0303606833286098,0.005238751983956,0.0514033717116026,0.5205395487309168,0.3074494118343913,0.5906360286820811,-3.494606819178031,85.62721243846404,110.25890514851534,0.776601330505929,29660.28736202398,1.2876619711023858,5.17914546431217,567.9047965405131,0.711864406779661,0.7368421052631579,0.9285714285714286,0.3076923076923077,49.14841849148419,49.1983072511644,49.09700991469901,49.122807017543856,0.4784107043958501,0.5215892956041498,59.23103738306197,61.84622979900131,0.4307790525043442,0.5692209474956558,72.36706579954081,83.1867414442604,0.4487005770544476,0.5512994229455525,66.12604631273804,73.29730585930533,0.6467187244398972,1.520540324865027,0.9327982422878304,1.2660187850872398,-0.6691679259499992,-1.3899024014332553,-0.2808538600717555,0.0010349424804629,0.1750725730002414,0.3159131555784005,2.833213344056216,5.780948134107604,1.325779567928076,1.1106628141225792,0.9515421046459682,0.9829564081810817,2.1365599816337384,1.933423218556188,3.095531307439265,0.9970581439596342,Relax
01,61.27957261806869,980.9666666666668,94.95546978946422,128.389040664349,129.48092882459997,0.0967978556418473,0.1308801257239617,1001.5,79.31909999999999,0.0792002995506739,116.75,0.7395917073460258,901.4,1055.2,55.00000000000001,76.66666666666667,779.0,1168.0,15.0,250.0,0.0224550273173606,0.0398291202333076,0.0101580675720574,0.0724422151227256,0.5637841656010865,0.3099715722292478,0.5498053885546205,-3.223156970074015,91.55684280620731,99.21083259654807,0.9228512694630177,28536.438857165664,1.0835982276774383,5.162369885286336,430.01872947209023,0.7,0.7241379310344828,0.9047619047619048,0.3,49.12183398040304,49.19614754082435,49.05204543368971,51.72413793103448,0.4759768482768334,0.5240231517231665,63.17101856236684,66.28270175335446,0.4949386217028524,0.5050613782971476,69.79668023682036,70.50682755889204,0.4862165565641256,0.5137834434358745,66.56633592998733,68.42736763950326,0.8086338619608826,1.417807664188907,1.0910858993738002,1.4064824022883935,-0.0970695281638462,-0.8763450713315684,-0.2775463408183618,0.0021259490222509,0.2068736226641814,0.2890681446434118,2.70805020110221,5.873557262275184,1.2677204710585246,0.0,1.0793720283840775,1.1968729356955117,2.32558010658296,1.8578123325744256,3.617516565942055,1.0829299425282284,Relax
01,62.107000275787584,967.5,90.2535975150397,127.11625534478804,128.1950748130056,0.0932853721085681,0.1313863104338894,974.0,82.2843,0.0844808008213552,108.0,0.7100083090886946,901.4,1046.4,48.333333333333336,73.33333333333333,779.0,1170.0,15.0,164.0625,0.0387994268430024,0.0784965350417583,0.0328234367496766,0.1501193986344373,0.4942820319694622,0.2584571161085228,0.5228940147362889,-2.5447007947633904,90.64760671499302,86.40728486562466,1.049073661508548,24606.881268170844,0.9532219106159036,5.098026683686811,329.4612686829736,0.7,0.7241379310344828,0.9285714285714286,0.1666666666666666,51.01167315175098,50.88918026559258,51.15400206372343,51.72413793103448,0.511052557601898,0.4889474423981018,64.8083381182944,63.39123185316774,0.4675334930519606,0.5324665069480395,59.08220875907848,63.05165728192939,0.4903367618554799,0.5096632381445201,62.01140250593636,63.22167255720125,0.9056658334034574,1.552709367625258,1.2763729718044845,1.4565493259257922,0.0502335171835994,-0.4945066916029184,-0.3839600263397181,0.0019172595901234,0.225707916560309,0.3450220111975035,2.03688192726104,5.806890595608518,1.2221214361137465,0.0,0.9571603491222738,1.1086943000148528,2.091752922383152,1.8337395574781044,3.420146613059596,1.1813781191217037,Relax
01,62.53332433376032,962.0491803278688,88.87039743910009,135.62183944090026,136.7663220100555,0.0923761479728227,0.1409718361744042,974.0,83.0256,0.0852418891170431,109.0,0.6552808736813146,891.0,1030.0,52.459016393442624,77.04918032786885,779.0,1142.0,15.25,195.3125,0.0261643047323653,0.0624577562051963,0.0148319847383843,0.1034540456759461,0.4189120186515532,0.2529075065302041,0.6037246373219242,-2.773264851480508,96.7083937312532,78.64370325809239,1.2297029479127686,23893.40246496791,0.8132045236594302,5.085248108457748,255.8136609872424,0.7049180327868853,0.728813559322034,0.9069767441860463,0.2727272727272727,49.95672494374242,49.99431798657663,49.918000417627866,52.54237288135594,0.4831292582346635,0.5168707417653364,67.21959964378831,69.5272779050162,0.4941982808041114,0.5058017191958887,55.28592381587868,55.93119603559136,0.4875354182323802,0.5124645817676198,61.54270041380345,63.09651758557324,0.6427296925338258,1.8786413076180903,1.0429299631560125,1.3993709083450174,-0.3754346761610421,-1.0133656670924087,-0.3102666305996791,0.0032115753677875,0.3462470369078755,0.3785393260160599,2.120263536200091,5.799589796579279,1.2768243359279308,1.1968729356955117,0.8432566261738648,1.0165434213138511,2.14884971385692,1.867822283412196,3.59211315010342,1.36115283157181,Relax
01,63.20501026691189,952.2786885245902,95.15060538387569,138.00712541990964,139.16493892496305,0.0999188646459126,0.1449230430996314,966.0,105.2646,0.1089695652173912,142.0,0.6894615411658213,856.0,1037.0,50.81967213114754,80.32786885245902,768.0,1142.0,15.25,289.0625,0.0239294381941065,0.0670687550332358,0.0210694302393393,0.1120676234666817,0.3567896583475922,0.2135267747622122,0.598466827068709,-2.702036991242923,98.4044720172531,92.42032757544492,1.064749223453284,28571.44541678504,0.9391882876953092,5.162902321666027,347.2003568152867,0.6885245901639344,0.7118644067796611,0.9047619047619048,0.25,50.69280162216966,50.66218749245439,50.71761316371074,55.932203389830505,0.5081793345572728,0.4918206654427272,70.15273893199763,69.01436843764823,0.4259847712915679,0.574015228708432,60.32044548963309,70.02114541397296,0.46965909719681,0.5303409028031899,65.42156725319569,69.51957945763266,0.6324167771717197,1.1647753823467366,0.6273724224476918,1.143132995378356,0.0100378760460984,-0.8466191780204375,-0.0572016881988583,0.0013108701606864,0.1350823947030716,0.371884424792094,2.9957322735539917,5.897950452316984,1.1831374224621567,1.133732460554052,1.1968729356955117,1.2168836126138958,2.3489531157817325,1.866542146720354,5.596419625090839,0.972252022551293,Relax
